	 y 	 / 	 y_oc 	 
2.58941	2.61803
1.46839	1.50478
1.05269	1.00925
2.24535	2.30726
1.03708	0.98959
1.00352	0.947056
1.75343	1.81715
2.03717	2.10602
1.47033	1.50697
1.01082	0.956349
2.1756	2.2412
1.17896	1.16507
1.08731	1.05232
1.0015	0.94444
1.12045	1.09368
1.41148	1.43989
1.63828	1.6938
1.03201	0.983041
2.57495	2.60545
2.87723	2.86012
1.06174	1.02061
1.70679	1.7676
2.9625	2.9279
2.3012	2.3585
1.34466	1.36254
3.38567	3.25155
1.01462	0.961171
2.04507	2.1138
1.01299	0.959009
1.03798	0.990737
1.24437	1.24399
3.43587	3.28925
1.97563	2.04488
2.10911	2.1772
1.00063	0.943339
1.60315	1.65548
2.07643	2.14456
1.10094	1.06925
2.04958	2.11905
1.03545	0.987384
2.24148	2.30275
2.47979	2.52071
2.61159	2.63724
3.28326	3.17584
1.0091	0.954156
1.00714	0.951663
1.98897	2.05821
1.01072	0.956124
2.03356	2.10245
2.00974	2.07887
1.85252	1.92057
1.01854	0.966141
2.75793	2.76164
1.45205	1.48679
2.62868	2.65198
2.19148	2.25633
2.02741	2.09638
1.00732	0.951815
1.14852	1.12791
1.26287	1.26609
1.60661	1.65927
1.44101	1.47368
1.06815	1.02843
3.26579	3.16276
1.02269	0.971401
1.86944	1.93798
2.93724	2.90765
1.41772	1.44705
2.3047	2.36175
1.03241	0.983552
1.14614	1.12499
1.77694	1.8412
1.35151	1.37102
3.62049	3.42051
1.51619	1.55916
2.28924	2.3474
2.71933	2.72821
1.16556	1.14876
1.26037	1.2631
3.0763	3.01888
1.4342	1.4659
2.06642	2.13558
1.02085	0.969069
1.12291	1.09672
3.36753	3.2394
1.64326	1.69856
3.59643	3.4025
2.05001	2.11866
1.0944	1.06113
1.12496	1.09925
1.26222	1.26574
2.01876	2.08781
1.03096	0.981868
2.43898	2.48516
1.0485	1.00398
1.2801	1.28656
1.53664	1.582
1.8795	1.9483
2.82196	2.81379
1.84359	1.91135
